Comunidad (Original);Comunidad Limpio;Comunidad en Inglés;Año;Sector Id;Sector;Gasto en I+D (Miles €);PIB (Miles €);% PIB I+D;Sector Nombre
(ES70) Canarias;Canarias;Canary Islands;2007;(ADMINISTRACION_PUBLICA);Government sector;78939;39902031;0.2;Administración Pública
(ES11) Galicia;Galicia;Galicia;2007;(ADMINISTRACION_PUBLICA);Government sector;72879;56005680;0.13;Administración Pública
(ES12) Principado de Asturias;Principado de Asturias;Asturias;2007;(ADMINISTRACION_PUBLICA);Government sector;41511;22873639;0.18;Administración Pública
(ES13) Cantabria;Cantabria;Cantabria;2007;(ADMINISTRACION_PUBLICA);Government sector;21626;12838674;0.17;Administración Pública
(ES21) País Vasco;País Vasco;Basque Country;2007;(ADMINISTRACION_PUBLICA);Government sector;50506;63889516;0.08;Administración Pública
(ES22) Comunidad Foral de Navarra;Comunidad Foral de Navarra;Navarre;2007;(ADMINISTRACION_PUBLICA);Government sector;36192;17870475;0.2;Administración Pública
(ES23) La Rioja;La Rioja;La Rioja;2007;(ADMINISTRACION_PUBLICA);Government sector;16518;7961817;0.21;Administración Pública
(ES24) Aragón;Aragón;Aragon;2007;(ADMINISTRACION_PUBLICA);Government sector;65421;34148523;0.19;Administración Pública
(ES30) Comunidad de Madrid;Comunidad de Madrid;Madrid;2007;(ADMINISTRACION_PUBLICA);Government sector;890326;194151492;0.46;Administración Pública
(ES41) Castilla y León;Castilla y León;Castile and León;2007;(ADMINISTRACION_PUBLICA);Government sector;56368;55130537;0.1;Administración Pública
(ES42) Castilla - La Mancha;Castilla - La Mancha;Castilla–La Mancha;2007;(ADMINISTRACION_PUBLICA);Government sector;37707;39219857;0.1;Administración Pública
(ES43) Extremadura;Extremadura;Extremadura;2007;(ADMINISTRACION_PUBLICA);Government sector;43932;18136908;0.24;Administración Pública
(ES51) Cataluña;Cataluña;Catalonia;2007;(ADMINISTRACION_PUBLICA);Government sector;398336;202742146;0.2;Administración Pública
(ES52) Comunidad Valenciana;Comunidad Valenciana;Valencia;2007;(ADMINISTRACION_PUBLICA);Government sector;135412;104836698;0.13;Administración Pública
(ES53) Illes Balears / Islas Baleares;Illes Balears / Islas Baleares;Balearic Islands;2007;(ADMINISTRACION_PUBLICA);Government sector;26090;26749452;0.1;Administración Pública
