Country,País,Year,Sector,%GDP,ISO3,label_percent_gdp_id,"GDP Current prices, million euro",GDP Current Prices Flags,Approx_RD_Investment_million_euro
European Union - 27 countries (from 2020),Unión Europea (27 países),2013,All Sectors,2.08,EUU,e,11595373.5,,241183.7688
Euro area – 20 countries (from 2023),Zona Euro (20 países),2013,All Sectors,2.1,EMU,e,10013381.3,,210281.00730000003
Euro area – 20 countries (from 2023),Zona Euro (20 países),2013,All Sectors,2.1,EMU,e,10058185.2,,211221.8892
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2013,All Sectors,2.1,EMU,e,10013381.3,,210281.00730000003
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2013,All Sectors,2.1,EMU,e,10058185.2,,211221.8892
Belgium,Bélgica,2013,All Sectors,2.32,BEL,,394616.3,,9155.09816
Bulgaria,Bulgaria,2013,All Sectors,0.63,BGR,,42056.2,,264.95405999999997
Czechia,Chequia,2013,All Sectors,1.87,CZE,,160470.0,,3000.789
Denmark,Dinamarca,2013,All Sectors,2.96,DNK,,259530.9,,7682.11464
Germany,Alemania,2013,All Sectors,2.78,DEU,,2867280.0,,79710.38399999999
Estonia,Estonia,2013,All Sectors,1.7,EST,,19163.2,,325.7744
Ireland,Irlanda,2013,All Sectors,1.54,IRL,e,183192.7,,2821.1675800000003
Greece,Grecia,2013,All Sectors,0.82,GRC,,178113.9,,1460.5339799999997
Spain,España,2013,All Sectors,1.27,ESP,,1025652.0,,13025.7804
France,Francia,2013,All Sectors,2.23,FRA,,2120351.9,,47283.847369999996
Croatia,Croacia,2013,All Sectors,0.79,HRV,,44803.9,,353.95081000000005
Italy,Italia,2013,All Sectors,1.29,ITA,,1621260.7,,20914.26303
Cyprus,Chipre,2013,All Sectors,0.48,CYP,,18040.3,,86.59343999999999
Latvia,Letonia,2013,All Sectors,0.64,LVA,,21997.0,,140.7808
Lithuania,Lituania,2013,All Sectors,0.95,LTU,,34874.0,,331.303
Luxembourg,Luxemburgo,2013,All Sectors,1.23,LUX,,49094.5,,603.86235
Hungary,Hungría,2013,All Sectors,1.38,HUN,,102210.9,,1410.5104199999998
Malta,Malta,2013,All Sectors,0.73,MLT,,8129.4,,59.34462
Netherlands,Países Bajos,2013,All Sectors,2.14,NLD,b,665567.0,,14243.133800000001
Austria,Austria,2013,All Sectors,2.98,AUT,,321191.7,,9571.51266
Poland,Polonia,2013,All Sectors,0.88,POL,,390177.0,,3433.5576
Portugal,Portugal,2013,All Sectors,1.32,PRT,,170675.6,,2252.91792
Romania,Rumanía,2013,All Sectors,0.39,ROU,,142936.0,,557.4504000000001
Slovenia,Eslovenia,2013,All Sectors,2.59,SVN,,36041.3,,933.4696700000001
Slovakia,Eslovaquia,2013,All Sectors,0.82,SVK,,74642.7,,612.0701399999999
Finland,Finlandia,2013,All Sectors,3.28,FIN,,203497.0,,6674.701599999999
Sweden,Suecia,2013,All Sectors,3.28,SWE,e,439807.4,,14425.682719999999
Iceland,Islandia,2013,All Sectors,1.69,ISL,b,12132.9,,205.04600999999997
Norway,Noruega,2013,All Sectors,1.64,NOR,,395856.8,,6492.051519999999
United Kingdom,Reino Unido,2013,All Sectors,1.62,GBR,,2096338.0,,33960.6756
Bosnia and Herzegovina,Bosnia y Herzegovina,2013,All Sectors,0.32,BIH,,13691.8,,43.81376
Montenegro,Montenegro,2013,All Sectors,0.37,MNE,,3362.5,,12.44125
Serbia,Serbia,2013,All Sectors,0.66,SRB,,37978.2,,250.65612
Türkiye,Turquía,2013,All Sectors,0.81,TUR,,719726.6,,5829.785460000001
European Union - 27 countries (from 2020),Unión Europea (27 países),2014,All Sectors,2.09,EUU,e,11868132.2,,248043.96297999995
Euro area – 20 countries (from 2023),Zona Euro (20 países),2014,All Sectors,2.12,EMU,e,10254975.4,,217405.47848000002
Euro area – 20 countries (from 2023),Zona Euro (20 países),2014,All Sectors,2.12,EMU,e,10299260.0,,218344.312
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2014,All Sectors,2.12,EMU,e,10254975.4,,217405.47848000002
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2014,All Sectors,2.12,EMU,e,10299260.0,,218344.312
Belgium,Bélgica,2014,All Sectors,2.36,BEL,,404958.3,,9557.015879999999
