STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,prof_pos,Professional position,sex,Sex,sectperf,Sector of performance,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2012,,1.07,,e,estimated,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2013,,1.08,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2014,,1.15,,e,estimated,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2015,,1.16,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2016,,1.17,,e,estimated,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2017,,1.18,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2018,,1.24,,e,estimated,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2019,,1.3,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2020,,1.28,,e,estimated,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2021,,1.34,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2022,,1.4,,e,estimated,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,AT,Austria,2023,,1.47,,p,provisional,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BA,Bosnia and Herzegovina,2021,,0.03,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2012,,0.79,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2013,,0.78,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2014,,0.86,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2015,,0.9,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2016,,0.94,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2017,,1.01,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2018,,1.07,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2019,,1.14,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2020,,1.21,,d,definition differs (see metadata),,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2021,,1.59,,b,break in time series,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2022,,1.65,,e,estimated,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BE,Belgium,2023,,1.71,,p,provisional,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2012,,0.09,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2013,,0.12,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2014,,0.16,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2015,,0.29,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2016,,0.35,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2017,,0.33,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2018,,0.41,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2019,,0.45,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2020,,0.46,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2021,,0.44,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2022,,0.5,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,BG,Bulgaria,2023,,0.45,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CH,Switzerland,2012,,1.08,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CH,Switzerland,2015,,1.11,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CH,Switzerland,2017,,0.99,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CH,Switzerland,2019,,1.1,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CH,Switzerland,2021,,1.13,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CY,Cyprus,2012,,0.06,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CY,Cyprus,2013,,0.06,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CY,Cyprus,2014,,0.06,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CY,Cyprus,2015,,0.06,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CY,Cyprus,2016,,0.09,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CY,Cyprus,2017,,0.1,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CY,Cyprus,2018,,0.15,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CY,Cyprus,2019,,0.17,,,,,
dataflow,ESTAT:TSC00002(1.0),Research and development personnel by sector of performance,A,Annual,PC_ACT_FTE,Percentage of population in the labour force - numerator in full-time equivalent (FTE),TOTAL,Total,T,Total,BES,Business enterprise sector,CY,Cyprus,2020,,0.18,,,,,
