STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,prof_pos,Professional position,unit,Unit of measure,sectperf,Sector of performance,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2012,,25180,,e,estimated,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2013,,25752.4,,,,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2014,,27360.6,,e,estimated,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2015,,27872.3,,,,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2016,,29615,,e,estimated,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2017,,29947.8,,,,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2018,,31597.9,,e,estimated,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2019,,33868.1,,,,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2020,,32849,,e,estimated,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2021,,36014.9,,,,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2022,,37998,,e,estimated,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,AT,Austria,2023,,40582,,p,provisional,,
dataflow,ESTAT:TSC00004(1.0),Total researchers by sector of performance - full time equivalent,A,Annual,T,Total,RSE,Researchers,FTE,Full-time equivalent (FTE),BES,Business enterprise sector,BA,Bosnia and Herzegovina,2012,,108.7,,,,,
