TERRITORIO,TERRITORIO_CODE,TIME_PERIOD,TIME_PERIOD_CODE,SEXO,SEXO_CODE,SECTOR_EJECUCION,SECTOR_EJECUCION_CODE,MEDIDAS,MEDIDAS_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION_CODE,ESTADO_OBSERVACION,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION
España,ES,2007,2007,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,58813.1,,,,,
España,ES,2008,2008,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,61735.6,,,,,
España,ES,2009,2009,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,63174.7,,,,,
España,ES,2010,2010,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,64589.8,,,,,
España,ES,2011,2011,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,62185.4,,,,,
España,ES,2012,2012,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,59775.4,,,,,
España,ES,2013,2013,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,57640.8,,,,,
España,ES,2014,2014,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,57156.4,,,,,
España,ES,2015,2015,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,57106.5,,,,,
España,ES,2016,2016,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,58412.6,,,,,
España,ES,2017,2017,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,62541.9,,,,,
España,ES,2018,2018,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,64007.3,,,,,
España,ES,2019,2019,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,66630.4,,,,,
España,ES,2020,2020,Total,_T,Enseñanza Superior,ENSENIANZA_SUPERIOR,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,67211.8,,,,,
